word,frequency
аббат,1.6
абвер,2.7
абзац,10.2
аборт,8.3
абрек,1.3
абрис,1.1
абхаз,0.7
аванс,7.1
авеню,2.3
аврал,1.3
автор,262.1
агенс,0.5
агент,39.2
агнец,2.5
агуша,0.4
адепт,2.8
адрес,92.7
азарт,11.8
азиат,2.3
акрил,0.9
аксон,0.4
актер,114.4
актив,32.7
актор,0.4
акула,9.3
акциз,5.3
акция,98.5
алеут,0.4
алиби,2.6
алкаш,4.8
аллах,8.5
аллея,16.0
аллюр,0.8
алмаз,16.7
алтын,0.5
алыча,0.8
альфа,5.2
амбал,2.1
амбар,4.9
амвон,1.0
амеба,0.8
ампер,2.2
ампир,2.1
анаша,1.1
ангар,3.5
ангел,32.4
анион,0.7
анонс,1.3
анчар,0.4
аорта,2.2
арбуз,9.1
аргон,0.9
аргус,0.6
ареал,3.7
арена,13.5
арест,46.5
ариец,1.1
аркан,3.1
армия,186.4
армяк,0.6
архив,35.3
аршин,3.6
асана,1.1
аскер,0.7
аскет,1.6
аспид,0.7
астма,2.8
астра,3.8
аська,2.0
атака,42.7
атлас,5.8
атлет,2.5
атолл,0.8
аудит,3.7
афера,3.5
афиша,11.0
ахилл,0.8
ацтек,0.8
ашрам,0.6
бабай,1.0
бабка,42.0
багаж,12.0
багет,0.8
багор,1.7
бадья,1.8
базар,22.6
базис,3.7
байда,0.6
байка,6.0
бакен,1.5
балда,2.5
балет,21.4
балка,9.9
балык,0.7
банан,7.3
банда,15.3
банка,49.0
барак,25.3
баран,8.9
баржа,8.0
барий,0.5
барин,7.4
барка,0.7
барон,25.4
барыш,1.3
басня,3.6
басок,0.7
батог,0.8
батон,5.3
батут,0.5
батыр,0.4
бахча,0.6
бачки,0.5
бачок,3.8
башка,13.8
башли,0.5
башня,39.4
бегун,2.4
бедро,24.3
бекон,1.1
белка,11.6
белок,40.3
белый,5.9
белье,34.1
беляк,0.7
берег,164.7
берет,4.8
бетон,11.3
бивак,0.6
бидон,3.4
бизон,1.4
билет,75.4
бином,0.6
биржа,14.8
бирка,1.9
бирюк,3.3
бисер,3.2
битва,22.8
биток,0.4
битум,1.2
битье,1.8
битюг,0.7
благо,38.0
блажь,2.0
бланк,10.7
блеск,29.7
блоха,4.3
блуза,1.8
блюдо,31.3
блядь,6.2
бляха,1.9
бобби,2.1
бобер,2.6
бобик,1.2
богач,7.6
бодун,0.9
божок,1.0
бойня,3.4
бокал,26.1
болид,1.9
бомба,35.8
бонза,0.6
бонна,0.5
бонус,1.9
бордо,1.6
борец,15.3
боров,1.6
борок,0.7
босяк,1.8
ботва,2.3
ботик,0.8
бочка,26.6
бочок,3.0
брага,2.0
брань,5.9
брасс,0.7
брейк,0.4
бремя,12.3
бренд,6.1
брешь,2.7
бридж,1.0
бровь,41.6
бронх,1.4
бронь,2.8
броня,8.1
брошь,1.3
брэнд,5.9
брюки,37.2
брюхо,10.7
бубен,2.9
бубна,0.8
бугай,1.7
бугор,10.1
будда,7.5
будка,15.6
будни,8.7
буква,63.5
букет,20.5
букля,0.6
булат,5.7
булка,4.8
бурак,0.7
буран,4.1
бурда,1.5
бурка,2.4
бурун,0.8
бурят,1.0
бутан,0.4
бутик,5.8
бутон,4.6
бутса,0.7
буфер,3.9
буфет,20.0
бухта,8.4
быдло,2.1
былое,1.5
былье,0.4
бытие,40.9
бычок,5.9
бьюик,0.4
вагон,70.9
вазон,1.1
вакса,0.8
валек,1.9
валет,2.3
валик,3.4
валка,0.7
валок,0.8
валуй,0.7
валун,6.0
вальс,8.2
ванна,22.0
варан,0.5
варка,3.8
варна,0.8
варяг,4.8
ватка,1.2
вафля,1.5
вахта,11.0
вдова,21.5
ведро,34.1
велик,0.7
венгр,2.5
венец,9.6
веник,7.7
венок,9.1
вепрь,0.7
верба,1.7
верея,0.6
верфь,2.5
весло,9.9
весна,91.3
весть,21.4
ветвь,33.0
ветер,140.3
ветка,39.7
ветла,0.9
вечер,335.4
вешка,0.9
взвод,21.1
вздор,5.2
вздох,20.8
взлет,12.8
взлом,1.3
взмах,6.0
взнос,17.8
взрыв,56.3
видак,0.5
видео,7.5
видик,0.8
видок,0.6
визит,49.8
вилка,16.0
вилла,10.4
винил,0.5
винцо,1.6
виола,1.5
вираж,3.5
вирус,106.5
вирши,1.0
виски,14.2
висок,18.0
висяк,0.4
виток,5.8
вихор,1.7
вихрь,9.7
вишня,7.5
вклад,43.0
влага,14.1
вобла,2.1
вогул,3.9
водка,93.9
вожак,5.9
вождь,42.2
вожжа,4.2
возня,8.1
возок,0.6
война,425.9
вокал,2.4
волан,0.5
волна,95.4
волок,2.0
волос,141.8
волхв,4.1
вольт,2.4
вопль,17.0
ворог,0.4
ворон,5.3
ворот,25.7
ворох,5.6
ворье,0.7
вотум,4.9
вояка,3.2
враки,0.6
враль,0.6
врата,5.3
время,2015.7
втора,1.0
вуаль,2.0
въезд,9.4
выбор,122.0
вывих,1.2
вывод,111.8
вывоз,7.9
выгон,1.0
выгул,0.5
выдел,1.7
выдох,5.0
выдра,1.1
выезд,18.3
вызов,42.0
выкуп,7.4
вылет,9.4
вылов,1.9
вынос,4.0
выпад,6.0
выпас,1.0
вырез,4.3
высев,0.7
выход,147.0
вычет,5.6
вышка,10.5
вьюга,2.8
вязка,1.5
вятич,1.0
газик,4.1
газон,13.1
гайка,5.2
галка,5.3
галоп,2.5
галун,0.7
гамак,2.9
гамма,11.1
гараж,26.6
гарем,3.0
гаусс,0.8
гашиш,1.3
гвалт,1.7
гейша,1.2
гелий,2.2
генез,0.4
гений,39.2
геном,11.8
герой,184.0
гетто,6.2
гжель,0.4
гидра,1.2
гиена,1.2
глава,240.2
главк,4.5
гладь,6.1
глина,18.4
глист,1.2
глубь,9.4
глушь,4.3
глыба,8.5
гнида,2.7
гниль,3.0
гобой,0.8
говно,8.0
говор,3.6
гогот,1.1
годик,3.2
годок,1.4
голец,0.4
голод,40.1
голос,424.5
голыш,0.8
гольф,4.5
гомик,0.6
гомон,2.3
гонец,3.5
гонка,42.9
гонор,1.3
гопак,0.6
горец,4.3
горка,16.3
горло,53.2
город,573.4
горох,6.4
гость,192.7
грамм,22.7
грант,8.6
грань,31.3
графа,6.1
греза,6.1
греча,0.5
грива,5.3
гриль,1.4
грипп,27.3
гроза,15.7
гросс,0.8
груда,11.0
грудь,138.8
грунт,17.5
груша,10.6
грыжа,1.9
гряда,5.2
грязь,47.5
гуашь,1.0
губка,6.7
гудок,11.8
гуляш,0.6
гумно,1.2
гумус,0.5
гурия,0.4
гусак,0.7
гусар,5.1
гусик,0.4
гусли,0.9
давка,2.7
дайка,0.6
дамба,3.7
дамка,1.5
дартс,0.4
дачка,1.7
дверь,450.8
дебет,0.9
дебил,3.1
дебит,1.6
дебош,0.9
дебри,3.6
дебют,8.0
девиз,8.0
девка,27.8
дедка,0.5
дедок,0.7
дезик,0.8
декан,4.0
декор,3.9
дележ,2.5
делец,3.7
демон,10.6
денди,1.5
денек,5.3
дерби,0.7
дерен,0.5
дерма,0.4
десна,3.6
детка,4.9
дефис,0.5
джинн,3.1
дзюдо,2.6
диван,60.1
диета,9.1
дилер,16.4
динар,0.5
динго,0.5
диско,0.7
дичок,0.6
длань,1.3
длина,67.7
днище,4.5
добро,59.0
довод,17.6
догма,4.6
дождь,83.2
дозор,5.6
дойка,0.6
докер,0.5
домен,2.4
домик,39.8
домна,1.0
донец,1.3
донка,0.4
донна,1.3
донор,7.5
донос,10.9
доска,67.1
досуг,9.8
досье,5.1
доход,103.6
дочка,54.1
драже,0.5
драйв,1.5
драка,23.6
драма,22.6
драфт,0.6
древо,5.0
дрейф,1.9
дрель,1.4
дрема,2.5
дробь,6.8
дрова,25.8
дрога,0.4
дрожь,12.5
дрозд,2.7
дрофа,0.4
друид,0.5
дрянь,11.9
дубль,5.3
дубок,0.9
дувал,0.5
дудка,2.5
дужка,2.1
дукат,0.5
думец,2.6
думка,0.7
дупло,2.6
дурак,69.8
дурка,0.4
дутье,0.4
душка,1.0
душок,1.5
дуэль,9.0
дылда,0.9
дымка,6.3
дымок,7.5
дырка,22.7
дышло,0.8
дядик,1.3
дятел,3.1
евнух,2.2
еврей,84.1
егерь,3.7
ездок,0.8
елань,0.4
ересь,4.5
ершик,0.4
есаул,1.0
ессей,0.7
жабра,2.9
жажда,20.0
жакет,2.4
жарка,0.8
жатва,1.5
жатка,0.4
желоб,2.5
желчь,2.1
жених,25.2
женка,0.6
жердь,3.6
жерех,0.5
жерло,1.6
жесть,3.2
жетон,3.4
живец,0.6
живой,1.8
живот,65.6
жизнь,1389.8
жизня,0.4
жилет,5.0
жилец,20.4
жилка,7.1
жилье,61.1
жинка,1.0
жираф,2.6
жирок,1.0
жисть,1.7
житие,7.3
житье,4.3
жокей,0.7
жрица,2.0
жулик,7.7
жулье,1.1
жупел,1.0
жучка,1.0
жучок,3.7
забег,1.6
забой,6.7
забор,48.3
завал,6.4
завет,17.9
завод,164.0
завоз,1.4
завуч,3.7
загар,6.1
загиб,1.1
загон,3.4
загул,1.5
задел,2.2
задок,0.6
задор,2.8
заезд,6.3
зажим,4.0
зазор,4.0
заика,1.8
зайка,3.8
заказ,56.0
закат,18.3
закон,433.4
закут,0.4
залив,16.1
залог,20.3
залом,0.5
замах,1.6
замер,3.1
замес,0.7
замок,60.8
замша,1.5
занос,2.3
запад,88.9
запал,2.5
запас,67.8
запах,94.1
запев,0.4
